Privacy,Fairness,Utility
4.5,0.1704704761505127,119.51008148599158
5.0,0.0780078545212745,113.14394256991278
5.5,0.0980001389980316,105.75556585764096
6.0,0.1720437556505203,93.66771421686929
6.5,0.2103500664234161,112.87705342973544
7.0,0.1240375712513923,124.0770018481117
7.5,0.1151884347200393,104.85572534433824
8.0,0.0515109002590179,98.01451810883702
8.5,0.0384392142295837,97.16377946369926
9.0,0.0693581998348236,90.09579525041369
9.5,0.0681735649704933,90.45937959597342
10.0,0.071233831346035,78.81585483131374
