Privacy,Fairness,Utility,fid_major_z1, fid_major_z0, fid_minor_z1, fid_minor_z0
1.0,0.4466135501861572,293.0840178336634,387.724774870956,,370.6451202776573,347.33685375197257
1.5,0.4412442743778229,236.6795820285592,325.8345236573399,369.1771447070068,335.60435309395467,279.91011494696875
2.0,0.3646169900894165,184.4833119935857,276.15335881880264,305.6590621941467,291.106994856936,231.37551190974887
2.5,0.2704367041587829,175.00540918812175,253.26310607407697,292.9031764219196,217.457603786287,145.25731542913314
3.0,0.2030912190675735,160.20034506043277,247.8865425551165,297.35107253047744,211.813332377608,126.3018679565023
3.5,0.1147630587220192,117.71438919624882,224.2566347097389,236.6524018566504,196.9954966952189,112.55671171137226
4.0,0.2234148979187011,111.01594772664836,172.7515086384443,180.5591688402589,141.57445842595695,94.72459420838705
4.5,0.1704704761505127,119.51008148599158,151.07006308767816,163.45245080549304,145.5532773269647,106.13216902755651
5.0,0.0780078545212745,113.14394256991278,165.0749755949974,168.76384688883886,143.31378214493822,99.0052056721796
5.5,0.0980001389980316,105.75556585764096,175.31160792258007,157.89465780048596,127.94593592119124,92.49682446565102
6.0,0.1720437556505203,93.66771421686929,164.5513334654238,168.8529563353463,117.59950351179327,96.68280849541615
6.5,0.2103500664234161,112.87705342973544,126.62018996039984,166.3373242403851,98.61465176313722,100.43443600590945
7.0,0.1240375712513923,124.0770018481117,165.9979156940561,180.23445588318617,112.45784746574692,122.20120780400296
7.5,0.1151884347200393,104.85572534433824,170.0161927536907,187.74468796688825,135.60985607635536,115.0184385567411
8.0,0.0515109002590179,98.01451810883702,173.7823889924606,169.93006176092143,102.79037459456474,78.27793204406586
8.5,0.0384392142295837,97.16377946369926,150.9892006213969,173.63053002674397,94.23797786991864,71.99734988501376
9.0,0.0693581998348236,90.09579525041369,156.43650930166888,179.33716477513764,84.0230340640067,66.85456058864115
9.5,0.0681735649704933,90.45937959597342,144.03063665095607,182.52924299482132,64.66351298461902,68.45966635138542
10.0,0.071233831346035,78.81585483131374,137.73553364606096,190.06967289987438,63.30250322134063,67.4463221346603
